from	statement	to	subkey
19	Petals fused into a ring or a tube, the corolla generally falling as a unit [corolla of free petals fused to a hypanthium should be keyed under 19']	20	
19	Petals free, at least at base, attached and generally falling singly (sometimes individually joined to a hypanthium; in a few families &plusmn; joined and falling in groups, but not forming a ring or a tube, or petal 1)	22	
20	Ovary inferior or partly so	Family Group 17	
20	Ovary superior	21	
21	Corolla bilateral	Family Group 18	
21	Corolla radial	Family Group 19	
22	Leaf compound or so deeply divided as to appear compound	Family Group 20	
22	Leaf simple, sometimes much reduced	23	
23	Ovary inferior or partly so	Family Group 21	
23	Ovary superior	24	
24	Stamens > 2 &times; as many as petals	Family Group 22	
24	Stamens <= 2 &times; as many as petals	25	
25	Tree or shrub, conspicuously woody	Family Group 23	
25	Herb or subshrub, woody only at base	Family Group 24	
1	Leaves linear, +- entire, sheathing at base	2	Family Group 1
1	Leaves linear-elliptic to round, entire, toothed, or palmately lobed, not sheathing at base	4	Family Group 1
2	Plant with strong odor of onion or garlic; bulblets in head or umbel	Alliaceae	Family Group 1
2	Plant unscented; bulblets in spike- or panicle-like cluster	3	Family Group 1
3	"Leaves stiff, sword-like, vertically folded, attached ""edge-on"" to stem, < 60 mm wide"	Iridaceae	Family Group 1
3	"Leaves soft, flat or folded, not attached ""edge-on"" to stem, 1--2 mm wide"	Poaceae	Family Group 1
4	Leaves opposite, +- fleshy	Montiaceae	Family Group 1
4	Leaves alternate or all basal, not fleshy	5	Family Group 1
5	Proximal leaves sessile or tapered to short petioles; leaf blade entire or sharply toothed	Saxifragaceae	Family Group 1
5	Proximal leaves abruptly slender-petioled; leaf blade palmately lobed or divided	6	Family Group 1
6	Proximal leaves 5--15 cm wide; plant stout, 30--150(200) cm	Ranunculaceae	Family Group 1
6	Proximal leaves 1.5--4 cm wide; plant slender, 8--50 cm	Saxifragaceae	Family Group 1
1	Plant body consisting of a jointed, hollow-stemmed central axis and whorled branches; leaves reduced to whorled scales; plant emergent	Equisetaceae	Family Group 2
1	Plant body various, but not consisting of a jointed, hollow-stemmed central axis and whorled branches; leaves various, but not whorled scales; plant free-floating, emergent, or submersed	2	Family Group 2
2	Plant raft-like, free-floating on water surface or stranded along shore or in drying bottom sediments, breaking apart into individuals or small clumps	3	Family Group 2
2	Plant generally anchored in bottom sediments or, if free-floating, most of plant body below water surface or not readily breaking apart --- rhizomes or stolons present or 0, sometimes elongated	7	Family Group 2
3	Individual plant generally 0.4--30 mm in length or diam, sometimes not differentiated into leaves and stems; roots unbranched	4	Family Group 2
3	Individual plant often >> 30 mm, differentiated into leaves and stems; roots generally branched (0 in Salviniaceae, with finely dissected, root-like submersed leaves)	5	Family Group 2
4	Plant body spheric to disk-shaped or oblong, not differentiated into stems and leaves	Araceae	Family Group 2
4	Plant body differentiated into a short, often branched stem with small, minutely velvety-papillate, scale-like leaves	Azollaceae	Family Group 2
5	Leaf blades glossy green, glabrous, finely parallel-veined; petioles often enlarged, forming gas-filled floats	Pontederiaceae	Family Group 2
5	Leaf blades light to dark green or +- purple, velvety-hairy, +- palmately or obscurely veined, sessile, lacking floats, +- palmately or obscurely veined	6	Family Group 2
6	Leaves in floating rosettes, evidently +- palmately veined	Araceae	Family Group 2
6	Leaves in whorls of 3, 2 floating, entire, obscurely veined, the 3rd submersed, finely dissected, root-like	Salviniaceae	Family Group 2
7	Leaf peltate, cordate, sagittate, or deeply notched	8	Family Group 2
7	Leaf not peltate, cordate, sagittate, or deeply notched	16	Family Group 2
8	Leaf peltate	9	Family Group 2
8	Leaf sagittate or cordate to ovate or +- round, the base shallowly to deeply notched	10	Family Group 2
9	Submersed parts not gelatinous; leaf blades generally emergent	Araliaceae	Family Group 2
9	Submersed parts gelatinous; leaf blades floating	Cabombaceae	Family Group 2
10	Leaf blades pinnately veined; petioles long, stout; rhizome stout	11	Family Group 2
10	Leaf blades +- palmately veined; petioles long or short, slender or stout; rhizome, if present, slender	12	Family Group 2
11	Leaf sagittate; rhizome +- vertical	Araceae	Family Group 2
11	Leaf ovate to round; rhizome horizontal	Nymphaeaceae	Family Group 2
12	Leaf blades palmately lobed, never sagittate, the lobes often toothed --- veinlets forming an irregular network	Araliaceae	Family Group 2
12	Leaf blades ovate to cordate or sagittate, entire	13	Family Group 2
13	Palmate veins 3 --- smaller veins parallel, extending from main veins toward leaf margin	Araceae	Family Group 2
13	Palmate veins generally 5--13+	14	Family Group 2
14	Stipules 1--6 cm	Pontederiaceae	Family Group 2
14	Stipules 0	15	Family Group 2
15	Smaller veins passing like ladder-rungs between prominent main veins	Alismataceae or Hydrocharitaceae	Family Group 2
15	Smaller veins forming network	Menyanthaceae	Family Group 2
16	Leaves all basal or basal and cauline on a generally erect, generally emergent stem, sometimes from rhizome or corm-like base anchored in bottom sediments	17	Family Group 2
16	Leaves generally all cauline; stems emergent or taking the form of underwater or floating rhizomes or stolons that are unable to support the plant body outside of water	47	Family Group 2
17	Leaves petioled, with expanded blades	18	Family Group 2
17	Leaves sessile, +- linear or reduced to bladeless sheaths	24	Family Group 2
18	Leaf serrate or dentate to lobed or compound	19	Family Group 2
18	Leaf entire, simple	21	Family Group 2
19	Leaf palmate; leaflets 4	Marsileaceae	Family Group 2
19	Leaf toothed to pinnately lobed or 1--3-pinnate	20	Family Group 2
20	Leaf bases sheathing; leaves, lobes, or leaflets serrate to sharply dissected	Apiaceae	Family Group 2
20	Leaf bases not sheathing; lobes or leaflets entire or dentate with +- rounded teeth	Brassicaceae	Family Group 2
21	Leaves generally << 1 cm wide	Scrophulariaceae	Family Group 2
21	Leaves generally >= 1 cm wide, often much larger	22	Family Group 2
22	Wider leaves floating	Aponogetonaceae	Family Group 2
22	Wider leaves generally emergent	23	Family Group 2
23	Stipules 0	Alismataceae	Family Group 2
23	Stipules present, 1--6 cm	Pontederiaceae	Family Group 2
24	"Leaves vertically folded and attached ""edge-on"" to the stem, obviously 2-ranked"	Juncaceae	Family Group 2
24	Leaves cylindric, +- angled, flat, or reduced to bladeless sheaths, but not folded, not obviously 2-ranked	25	Family Group 2
25	Leaves with flat blades or reduced to bladeless sheaths	26	Family Group 2
25	Leaves cylindric or angled	36	Family Group 2
26	Leaves bladeless or nearly so, composed mainly of a tubular sheath	27	Family Group 2
26	Leaves with ordinary flat blades and generally also +- tubular sheaths	29	Family Group 2
27	Stems +- triangular	Cyperaceae	Family Group 2
27	Stems round, flattened, or several-angled	28	Family Group 2
28	Leaf sheaths closed, forming a continuous cylinder around stem	Cyperaceae	Family Group 2
28	Leaf sheaths open on one side, with overlapping margins	Juncaceae	Family Group 2
29	Leaf blade with a well-developed midvein or keel	30	Family Group 2
29	Leaf blade flat or rounded on back, lacking a prominent midvein or keel	31	Family Group 2
30	Leaf sheaths closed, forming a continuous cylinder around stem; stem generally triangular; leaves 3-ranked	Cyperaceae	Family Group 2
30	Leaf sheaths open on one side, with overlapping margins; stem round; leaves 2-ranked	Typhaceae	Family Group 2
31	Annual; leaves all basal	Ranunculaceae	Family Group 2
31	Perennial herb, or if annual, some leaves cauline	32	Family Group 2
32	Plant submersed; seawater or brackish water of bays and estuaries	Zosteraceae	Family Group 2
32	Plant emergent; fresh or brackish water of coastal or inland areas	33	Family Group 2
33	Nodes swollen; stem generally hollow	Poaceae	Family Group 2
33	Nodes not swollen; stem generally filled to center with spongy tissue	34	Family Group 2
34	Leaf generally > 5 mm wide; remnants of old inflorescence a dense spike; inner surface of leaf sheaths mucilaginous	Typhaceae	Family Group 2
34	Leaf <= 5 mm wide; remnants of old inflorescence not evident or a raceme; inner surface of sheaths not mucilaginous	35	Family Group 2
35	Leaves +- circular to semicircular in &times;-section	Juncaginaceae	Family Group 2
35	Leaves flat	Pontederiaceae	Family Group 2
36	Rhizomes and stolons 0; leaves densely tufted	37	Family Group 2
36	Rhizomes or stolons present; leaves tufted or borne along rhizome or stolon	40	Family Group 2
37	Leaf divided lengthwise into 4 hollow chambers; a sporangium generally embedded in adaxial base of each leaf, containing either powdery or larger spores	Isoetaceae	Family Group 2
37	Leaf solid or hollow, but not regularly divided into 4 chambers; a sporangium never embedded in leaf base	38	Family Group 2
38	Plant perennial herb; leaf often with internal cross-partitions	Juncaceae	Family Group 2
38	Plant annual; leaf without internal cross-partitions or partitions obscure	39	Family Group 2
39	Leaf bases not sheathing	Brassicaceae	Family Group 2
39	Leaf bases sheathing	Juncaginaceae	Family Group 2
40	Leaf sharply angled	41	Family Group 2
40	Leaf cylindric	42	Family Group 2
41	Stem triangular; leaves 3-ranked	Cyperaceae	Family Group 2
41	Stem +- round; leaves 2-ranked	Typhaceae	Family Group 2
42	Leaf with internal cross-partitions	43	Family Group 2
42	Leaf without internal cross-partitions	44	Family Group 2
43	Leaf soft, blunt, generally <= 15 cm, loosely sheathing; cross-partitions often externally prominent	Apiaceae	Family Group 2
43	Leaf generally stiff, acute, often > 15 cm, tightly sheathing; cross-partitions readily apparent by feel but often externally obscure	Juncaceae	Family Group 2
44	Leaf generally >> 6 cm	45	Family Group 2
44	Leaf 1--7(11) cm	46	Family Group 2
45	Stem +- straight; leaf blade tip without evident terminal pore; ligule 0.5--5 mm	Juncaginaceae	Family Group 2
45	Stem zigzag; leaf blade tip with evident terminal pore; ligule 2--12 mm	Scheuchzeriaceae	Family Group 2
46	Plant spreading by rhizomes, producing +- spheric, ball-like structures [sporangium cases] +- 2--3 mm diam at bases of some leaves; new leaves uncoiling at tips	Marsileaceae	Family Group 2
46	Plant spreading by stolons, not producing ball-like structures at bases of leaves; new leaves not uncoiling at tips	Scrophulariaceae	Family Group 2
47	Leaves (or leaf-like branches) compound or very deeply divided	48	Family Group 2
47	Leaves simple, the margins entire, toothed, or shallowly lobed	55	Family Group 2
48	Leaf palmately compound --- leaflets 4, floating or emergent	Marsileaceae	Family Group 2
48	Leaf pinnately compound or variously dissected	49	Family Group 2
49	Leaflets lanceolate or wider; leaves mostly aerial	50	Family Group 2
49	Leaflets or lobes linear, at least on submersed leaves; all or many leaves submersed	51	Family Group 2
50	Leaf bases sheathing; lobes or leaflets serrate to sharply dissected	Apiaceae	Family Group 2
50	Leaf bases not sheathing; lobes or leaflets entire or dentate with +- rounded teeth	Brassicaceae	Family Group 2
51	Underwater parts bearing small, hollow bladders that suck in and trap small organisms when hairs at opening are triggered; plant carnivorous --- highly dissected underwater parts are actually modified stems and the bladders are the leaves	Lentibulariaceae	Family Group 2
51	Underwater parts lacking bladder-like traps; plant not carnivorous	52	Family Group 2
52	Submersed leaves alternate	Ranunculaceae	Family Group 2
52	Submersed leaves opposite or whorled	53	Family Group 2
53	Submersed leaves pinnately divided, central leaf axis evident	Haloragaceae	Family Group 2
53	Submersed leaves palmately dissected or repeatedly forked, central leaf axis 0	54	Family Group 2
54	Submersed leaves palmately dissected; floating leaves 0--few, linear-elliptic, +- entire	Cabombaceae	Family Group 2
54	Submersed leaves repeatedly forked; floating leaves 0	Ceratophyllaceae	Family Group 2
55	Leaves long, narrow, strap-shaped or ribbon-like, often >> 20 cm, generally at least some basal	56	Family Group 2
55	Leaves linear to round, generally < 20 cm, generally all cauline	57	Family Group 2
56	Plant of freshwater habitat	Typhaceae	Family Group 2
56	Plant of seawater or brackish water of bays and estuaries	Zosteraceae	Family Group 2
57	Leaf with stipules or sheathing base	58	Family Group 2
57	Leaf without stipules or sheathing base	65	Family Group 2
58	Principal veins of leaf pinnate	59	Family Group 2
58	Principal veins of leaf parallel or pinnate-parallel or only 1 leaf vein apparent	60	Family Group 2
59	Leaves opposite or whorled, 2--15 mm	Elatinaceae	Family Group 2
59	Leaves alternate, >> 15 mm	Polygonaceae	Family Group 2
60	Leaves generally +- opposite or appearing whorled	61	Family Group 2
60	Leaves generally alternate	63	Family Group 2
61	Leaves emergent or floating; nodes swollen, internodes generally hollow	Poaceae	Family Group 2
61	Leaves submersed or some floating; nodes generally not swollen, internodes generally solid	62	Family Group 2
62	Leaves minutely toothed (teeth sometimes appearing +- 0 to naked eye); leaf base abruptly expanded, forming sheath, stipules 0	Hydrocharitaceae	Family Group 2
62	Leaves entire; leaf base not abruptly expanded, stipules present, free or fused to leaf base forming a sheath	Zannichelliaceae	Family Group 2
63	Stipules +- completely fused to leaf blade base	Ruppiaceae	Family Group 2
63	Stipules fused to leaf blade base <= 2/3 their length	64	Family Group 2
64	Roots branched; leaves linear; midvein of leaf not differentiated from other veins; floating leaves 0	Pontederiaceae	Family Group 2
64	Roots generally unbranched; leaves linear to ovate; midvein of leaf more prominent than other veins; floating leaves often present	Potamogetonaceae	Family Group 2
65	Leaves alternate	66	Family Group 2
65	Leaves opposite or whorled	69	Family Group 2
66	Leaves sessile; annual	Campanulaceae	Family Group 2
66	Leaves petioled; per	67	Family Group 2
67	Leaves toothed or lobed	Ranunculaceae	Family Group 2
67	Leaves entire	68	Family Group 2
68	Lateral leaf veins strongly diverging from midvein	Onagraceae	Family Group 2
68	Lateral leaf veins strongly ascending to nearly parallel to midvein	Ranunculaceae	Family Group 2
69	Leaves whorled	70	Family Group 2
69	Leaves opposite	71	Family Group 2
70	Leaf minutely toothed (teeth sometimes appearing +- 0 to naked eye)	Hydrocharitaceae	Family Group 2
70	Leaf entire	Plantaginaceae	Family Group 2
71	Leaves fleshy	72	Family Group 2
71	Leaves not or scarcely fleshy	73	Family Group 2
72	Leaves 2--6 mm, linear or oblanceolate; annual; plant generally +- red	Crassulaceae	Family Group 2
72	Leaves 3--50 mm linear to obovate; annual or perennial herb; plant generally not red	Montiaceae	Family Group 2
73	Leaves 0.5--5 mm wide	74	Family Group 2
73	Leaves 6--15+ mm wide	75	Family Group 2
74	Leaves minutely toothed (teeth sometimes appearing +- 0 to naked eye) to coarsely dentate, generally enlarged at base, all similar in form and submersed	Hydrocharitaceae	Family Group 2
74	Leaves entire, linear to ovate, not enlarged at base, sometimes with floating distal leaves different from submersed leaves	Plantaginaceae	Family Group 2
75	Leaf veins palmate	Phrymaceae or Plantaginaceae	Family Group 2
75	Leaf veins pinnate	76	Family Group 2
76	Leaves toothed	Phrymaceae or Plantaginaceae	Family Group 2
76	Leaves entire	77	Family Group 2
77	Leaves (3)5--13 cm; stems often swollen, hollow	Amaranthaceae	Family Group 2
77	Leaves < 5 cm; stems not swollen	Onagraceae	Family Group 2
1	Plant free-floating, raft-like, or stranded along shoreline or on drying mud	2	Family Group 3
1	Plant anchored in soil or growing on another plant [if plant aquatic, rooted in bottom sediments]	3	Family Group 3
2	Leaves 0.5--1.5 mm, alternate [each with a thick green or +- red-tinged floating lobe and a thin, colorless submersed lobe]; upper surface of floating lobe papillate or with short, inconspicuous hairs	Azollaceae	Family Group 3
2	Leaves 5--25 mm, appearing opposite [actually 2 floating leaves plus a 3rd submersed leaf dissected into root-like lobes]; upper surface of floating leaves conspicuously hairy	Salviniaceae	Family Group 3
3	Leaves linear or scale- or needle-like, entire or toothed (sometimes divided into linear lobes in _Asplenium septentrionale_); veins generally 0 or 1 (--few in _Asplenium septentrionale_)	4	Family Group 3
3	Leaves with well developed blades, not linear or scale- or needle-like, often lobed or compound; veins many	9	Family Group 3
4	Leaves basal, linear	5	Family Group 3
4	Leaves cauline, scale- or needle-like; sporangia in cone at tip of aerial shoot or in axils of distal leaves	7	Family Group 3
5	Sporangia in 1 or more linear sori on abaxial leaf face	Aspleniaceae	Family Group 3
5	Sporangia underground, embedded in adaxial face of widened leaf base or enclosed in hard, spheric sporangium case near leaf base	6	Family Group 3
6	Plant tufted, base corm-like; new leaves erect, never coiled; sporangium solitary, embedded in adaxial face of widened leaf base, +- covered by a translucent membrane	Isoetaceae	Family Group 3
6	Plant creeping by rhizomes; new leaves +- coiled, unrolling as they develop; sporangia several, enclosed in short-stalked, hard case attached near leaf base	Marsileaceae	Family Group 3
7	Stem hollow, jointed at nodes; leaves whorled, fused at base; sporangia several on undersides of peltate structures that are clustered in terminal cone	Equisetaceae	Family Group 3
7	Stem solid, not jointed; leaves alternate or opposite; sporangia in axils of distal scale-like leaves, the aggregation of fertile leaves sometimes cone-like	8	Family Group 3
8	Fertile leaves not in well defined ranks, the aggregation appearing round when viewed along axis from tip; sporangia all of 1 kind, producing only 1 kind of spore	Lycopodiaceae	Family Group 3
8	Fertile leaves 4-ranked, the aggregation appearing square when viewed along axis from tip; sporangia of 2 kinds, some with 4 large spores and others with many small spores	Selaginellaceae	Family Group 3
9	Plant aquatic or in dried pools or creek beds; leaf palmately compound, leaflets 4; sporangia borne underground or underwater, enclosed in short-stalked, hard case attached near petiole base	Marsileaceae	Family Group 3
9	Plant terrestrial or strongly emergent if in wet soil, or growing on another plant; leaf simple or 1--4-pinnate, if compound, leaflets generally >> 4; sporangia borne on aerial portion of leaf	10	Family Group 3
10	Leaf divided into dissimilar sterile (trophophore) and fertile (sporophore) parts; sterile part with an entire or 1--3-pinnate blade; fertile part bladeless, sporangia borne in stalked cluster arising from petiole or blade base; new leaves never coiled	Ophioglossaceae	Family Group 3
10	Leaf not divided into dissimilar sterile and fertile parts; sporangia borne on underside of leaf blade, sometimes near margin; new leaves generally coiled, unrolling as they develop	11	Family Group 3
11	Leaves of 2 dissimilar kinds, the fertile (sporangium-bearing) blades with greatly narrowed segments	12	Family Group 3
11	Leaves all alike or nearly so, the fertile [sporangium-bearing] blades very similar in size and shape to sterile blades	13	Family Group 3
12	Blade deeply pinnately lobed or 1-pinnate; leaf generally > 30 cm	Blechnaceae	Family Group 3
12	Blade 2 or more &times; pinnate or divided; leaf <= 30 cm	Pteridaceae	Family Group 3
13	Sori borne along or near margin of leaf; indusia 0 or sori covered by reflexed or recurved leaf margin or leaf margin segment	14	Family Group 3
13	Sori borne away from margin on underside of leaf or leaflet, or sporangia scattered along veins and not clustered into sori; indusia present or 0	16	Family Group 3
14	Pinnae all entire or minutely toothed	Pteridaceae	Family Group 3
14	Pinnae [some or all of them] conspicuously toothed, lobed, or compound	15	Family Group 3
15	Rhizome and base of petiole covered by hairs; rhizome long-creeping; leaf often > 80 cm, sometimes >= 2 m --- blade widely triangular, 2--4-pinnate	Dennstaedtiaceae {Pteridium aquilinum var. pubescens}	Family Group 3
15	Rhizome and base of petiole bearing linear to ovate scales; rhizome short and compact to long-creeping; leaf generally < 80 cm, often much shorter	Pteridaceae	Family Group 3
16	Sporangia scattered along veins, not clustered into distinct sori; indusia 0	Pteridaceae	Family Group 3
16	Sporangia clustered in distinct sori; indusia sometimes present	17	Family Group 3
17	Indusia 0	18	Family Group 3
17	Indusia present	20	Family Group 3
18	Blade deeply pinnately lobed	Polypodiaceae	Family Group 3
18	Blade 2--3-pinnate	19	Family Group 3
19	Trunk present; leaf >= 1 m; stipe not easily crushed, scale margin with bristle-like teeth	Cyatheaceae	Family Group 3
19	Trunk 0; leaf < 1 m; stipe easily crushed, scale margin +- entire, without bristle-like teeth	Woodsiaceae {Athyrium distentifolium var. americanum}	Family Group 3
20	Sori linear to oblong or J-shaped	21	Family Group 3
20	Sori +- round	23	Family Group 3
21	Veins of leaf segment forming a network; sori generally 2--4 mm, linear-oblong, end-to-end in rows parallel to midvein of leaf segment --- leaves 1 pinnate with deeply pinnately lobed pinnae	Blechnaceae	Family Group 3
21	Veins of leaf segment free, minor veins extending to segment margin without rejoining; sori 0.5--15 mm, linear, oblong, J-shaped, or reniform, not end-to-end in rows parallel to midvein of leaf segment	22	Family Group 3
22	Leaf 3--30 cm, 1-pinnate with pinnae < 1.5 cm or leaf simple, linear, undivided or forked	Aspleniaceae	Family Group 3
22	Leaf 20--200 cm, 1--2 pinnate with pinnae generally 5--25 cm, toothed or pinnately lobed	Woodsiaceae {Athyrium filix-femina var. cyclosorum}	Family Group 3
23	Blade with 1-celled, clear, needle-like hairs	Thelypteridaceae	Family Group 3
23	Blade without needle-like hairs	24	Family Group 3
24	Indusium peltate or round-reniform, attached +- in center of sorus, generally present and readily observable in late-season specimens	Dryopteridaceae	Family Group 3
24	Indusium attached to one side of sorus or cup-like, attached beneath sorus and often of hair- or scale-like fragments or lobes, generally delicate, often difficult to observe in late-season specimens	Woodsiaceae	Family Group 3
1	Specimens with pollen-producing cones only; ovule/seed-producing structures unavailable	2	Family Group 4
1	Specimens with ovule/seed-producing structures; pollen-producing cones present or 0	6	Family Group 4
2	Leaves opposite or whorled	3	Family Group 4
2	Leaves alternate	4	Family Group 4
3	Stems jointed at nodes, the internodes [main sites of photosynthesis] long, +- green; leaves dry, scale-like, often early deciduous, not overlapping; pollen cones with stamen-like structures, the pollen sacs borne on stout, filament-like stalks	Ephedraceae	Family Group 4
3	Stems not jointed at nodes, the internodes generally very short; leaves green, scale-, awl-, or needle-like, persistent, crowded, generally closely overlapping; pollen cones with sessile pollen sacs	Cupressaceae	Family Group 4
4	Pollen cones in leaf axils on 1-year old twigs; pollen sacs in groups of 4--16 on stout, filament-like stalks	Taxaceae	Family Group 4
4	Pollen cones terminal or in axils of newly formed leaves of current season; pollen sacs 2--6, sessile on abaxial faces of cone scales	5	Family Group 4
5	Leaves needle-like; pollen sacs 2 per cone scale	Pinaceae	Family Group 4
5	Leaves needle-, awl-, or scale-like; pollen sacs 2--6 per cone scale	Cupressaceae	Family Group 4
6	Ovules/seeds borne in a cone that becomes +- woody at maturity	7	Family Group 4
6	Ovules/seeds exposed on branches Or surrounded by a +- perianth-like cluster of membranous scales, Or enclosed in a cone that becomes fleshy and berry-like at maturity	8	Family Group 4
7	Cone bracts present, individually subtending and +- free from cone scales, exserted beyond cone scales or +- < scales and then +- hidden by them; leaves needle-like; ovules/seeds 2 per cone scale; seeds distally 1-winged or wingless	Pinaceae	Family Group 4
7	Cone bracts not evident, +- wholly fused to cone scales; leaves scale-like, awl-like, or needle-like; ovules/seeds 1--many per cone scale; seeds laterally 2-winged (wing sometimes very narrow) or distally 1-winged in _Calocedrus_	Cupressaceae	Family Group 4
8	Stems jointed at nodes, the internodes [main sites of photosynthesis] long, green; leaves dry, scale-like, often early deciduous, not overlapping; ovules/seed(s) surrounded by a +- perianth-like cluster of membranous scales; pollen cones with stamen-like structures, the pollen sacs borne on stout, filament-like stalks	Ephedraceae	Family Group 4
8	Stems not jointed at nodes, the internodes generally very short; leaves green, scale-like, awl-like, or needle-like, persistent, crowded, sometimes overlapping; ovules/seeds enclosed in fleshy cones Or exposed on branches and seeds individually subtended or surrounded by fleshy aril; pollen cones with sessile or stalked pollen sacs	9	Family Group 4
9	Leaves opposite or whorled, 1--20+ mm, scale-, awl-, or needle-like; seeds 1--3, enclosed in a fleshy, berry-like cone; pollen sacs 2--6, sessile on abaxial faces of cone scales	Cupressaceae	Family Group 4
9	Leaves alternate, 12--70 mm, needle-like; seed 1, +- enclosed by a fleshy, generally colored aril; pollen cones with stamen-like structures, pollen sacs in groups of 4--16 on stout filament-like stalks	Taxaceae	Family Group 4
1	Cleistogamous flowers formed at or below ground or water surface	2	Family Group 5
1	Cleistogamous flowers formed above ground or water surface	7	Family Group 5
2	Plant +- aquatic, submersed or emergent	3	Family Group 5
2	Plant terrestrial	4	Family Group 5
3	Leaves opposite, palmately veined	Plantaginaceae	Family Group 5
3	Leaves alternate, parallel-veined	Pontederiaceae	Family Group 5
4	Leaves petioled	5	Family Group 5
4	Leaves sessile	6	Family Group 5
5	Fruit 3-angled achene, tightly enclosed by hardened perianth; cleistogamous flowers at stem base	Polygonaceae	Family Group 5
5	Fruit ovoid to oblong capsule, not enclosed by hardened perianth; cleistogamous flowers in proximal leaf axils	Violaceae	Family Group 5
6	Leaves 0.5--4 cm, +- linear, +- 1-veined, not sheathing; cleistogamous flowers at stem base	Boraginaceae	Family Group 5
6	Leaves 2--9 cm, ovate to lance-elliptic, parallel-veined, sheathing; cleistogamous flowers underground	Commelinaceae	Family Group 5
7	Leaves sheathing, linear, parallel-veined; spikelets of cleistogamous flowers enclosed within leaf sheaths or borne in panicle-like clusters	Poaceae	Family Group 5
7	Leaves not sheathing, linear to ovate, not parallel-veined; spikelets of cleistogamous flowers 0	8	Family Group 5
8	Leaves all basal, inflorescence or solitary flower scapose	9	Family Group 5
8	Leaves all or mostly cauline	10	Family Group 5
9	Plant aquatic; leaves on rhizome or stolon, often bearing small, hollow bladders that suck in and trap small organisms when hairs at opening are triggered; flowers 1--few	Lentibulariaceae	Family Group 5
9	Plant terrestrial; leaves in basal rosette, not bearing traps; inflorescence a spike (flower 1)	Plantaginaceae	Family Group 5
10	Ovary inferior	11	Family Group 5
10	Ovary superior	13	Family Group 5
11	Inflorescence a closed head enclosed by spine-tipped involucre bracts	Asteraceae	Family Group 5
11	Inflorescence a spike or spike-like raceme or flowers sessile in leaf axils	12	Family Group 5
12	Ovary/fruit not narrowed distally; sepals ascending or +- spreading	Campanulaceae {Githopsis, Heterocodon, Triodanis}	Family Group 5
