from	statement	to	subkey
20	"Fruit erect or ascending, generally < 2.5 mm wide; branched hairs on leaf surface generally 2--4-rayed"	Arabis	Brassicaceae Group 3
20	"Fruit generally reflexed, occasionally erect or ascending, >= 2 mm wide; branched hairs on leaf surface 2--12-rayed"	Boechera	Brassicaceae Group 3
21	Fruit cylindric; seeds in 1 row	Arabidopsis	Brassicaceae Group 3
21	Fruit flat; seeds in 2 rows	Draba	Brassicaceae Group 3
1	Plant scapose; cauline leaves 0	2	Brassicaceae Group 4
1	Plant not scapose; at least 1 cauline leaf present	5	Brassicaceae Group 4
2	Ovules or seeds 1--4	Cusickiella	Brassicaceae Group 4
2	Ovules or seeds >= 10	3	Brassicaceae Group 4
3	Petals yellow to orange	Draba	Brassicaceae Group 4
3	"Petals white, lavender, rose, or purple"	4	Brassicaceae Group 4
4	Sepals 4--5 mm; petioles of previous year persistent	Anelsonia	Brassicaceae Group 4
4	Sepals 1.5--3 mm; petioles of previous year not persistent	Draba	Brassicaceae Group 4
5	"Cauline leaves sessile, basally lobed, sagittate, or clasping"	6	Brassicaceae Group 4
5	"Cauline leaves petioled, if sessile then not basally lobed or clasping"	8	Brassicaceae Group 4
6	Perennial herb with well-developed woody caudex; hairs many-branched	Phoenicaulis	Brassicaceae Group 4
6	"Annual or biennial (perennial herb), woody caudex 0; hairs a mixture of different types"	7	Brassicaceae Group 4
7	"Petals white (pink); at least some branched hairs sessile, stellate"	Capsella	Brassicaceae Group 4
7	"Petals yellow (white); branched hairs stalked, not stellate"	Camelina	Brassicaceae Group 4
8	Inflorescence bracted throughout	Tropidocarpum	Brassicaceae Group 4
8	Inflorescence not bracted or occasionally most proximal flowers bracted	9	Brassicaceae Group 4
9	Petals strongly 2-lobed	Berteroa	Brassicaceae Group 4
9	Petals entire or notched	10	Brassicaceae Group 4
10	Inflorescence 1-sided; young fruit reflexed; annual	Athysanus	Brassicaceae Group 4
10	Inflorescence not 1-sided; young fruit not reflexed; annual to subshrub	11	Brassicaceae Group 4
11	"Cauline leaves only with sessile, 2-rayed hairs"	Lobularia	Brassicaceae Group 4
11	Cauline leaves with various hair types but never only as above	12	Brassicaceae Group 4
12	"At least some filaments winged, dentate, or appendaged"	13	Brassicaceae Group 4
12	"All filaments wingless, not dentate, or unappendaged"	14	Brassicaceae Group 4
13	Annual; style 0.3--1.6 mm	Alyssum	Brassicaceae Group 4
13	Perennial herb; style 4--12 mm	Aubrieta	Brassicaceae Group 4
14	"Ovules or seeds 1 or 2, near ovary or fruit tip"	15	Brassicaceae Group 4
14	"Ovules or seeds 4--100, parietal"	17	Brassicaceae Group 4
15	Petals (10)12--15 mm	Dithyrea	Brassicaceae Group 4
15	Petals 0.9--3(4) mm	16	Brassicaceae Group 4
16	"Petals 0.9--1.3 mm; ovaries, young fruit ovoid"	Euclidium	Brassicaceae Group 4
16	"Petals 1.5--3(4) mm; ovaries, young fruit round to obovate, flat"	Alyssum	Brassicaceae Group 4
17	"Sepals linear to oblong-linear, erect; petals narrowly oblanceolate to linear"	Lyrocarpa	Brassicaceae Group 4
17	"Sepals oblong to ovate, erect to reflexed; petals ovate, obovate, spoon-shaped, oblong, or oblanceolate"	18	Brassicaceae Group 4
18	Cauline leaves entire or dentate (wavy)	19	Brassicaceae Group 4
18	Cauline leaves 1--3-pinnately divided or comb-like	21	Brassicaceae Group 4
19	"Leaf hairs stellate, +- sessile, webbed or not"	Physaria	Brassicaceae Group 4
19	"Leaf hairs simple, forked, cross-shaped, tree-like, or a mixture of 2 or more of types, never only sessile-stellate"	20	Brassicaceae Group 4
20	Young fruit with 1--4 seeds	Cusickiella	Brassicaceae Group 4
20	Young fruit with > 4 seeds	Draba	Brassicaceae Group 4
21	Perennial herb with well-developed caudex	22	Brassicaceae Group 4
21	Annual or biennial	23	Brassicaceae Group 4
22	"Leaves rigid, lobes linear"	Polyctenium	Brassicaceae Group 4
22	"Leaves not rigid, lobes obovate or oblong"	Smelowskia	Brassicaceae Group 4
23	Petals yellow; most or all hairs many-branched	Descurainia	Brassicaceae Group 4
23	Petals white; hairs simple or forked	Hornungia	Brassicaceae Group 4
1	Fruit transversely 2-segmented	2	Brassicaceae Group 5
1	Fruit unsegmented	4	Brassicaceae Group 5
2	"Fruit corky; glabrous; coastal, especially beaches"	Cakile	Brassicaceae Group 5
2	Fruit not corky; hairy; inland habitats	3	Brassicaceae Group 5
3	"Cauline leaves 1- or 2-pinnately divided; fruit pedicels strongly recurved; terminal segment seedless, flattened"	Carrichtera	Brassicaceae Group 5
3	"Cauline leaves dentate; fruit pedicels erect to ascending, straight; terminal segment 1(3)-seeded, spheric or ovoid"	Rapistrum	Brassicaceae Group 5
4	"Fruit flat parallel to septum, cylindric, or weakly flat perpendicular to septum"	5	Brassicaceae Group 5
4	Fruit clearly flat perpendicular to septum	11	Brassicaceae Group 5
5	Cauline leaves 0	6	Brassicaceae Group 5
5	Cauline leaves 1--many	7	Brassicaceae Group 5
6	Fruit pedicel 1 from basal rosette; seeds winged; plants terrestrial	Idahoa	Brassicaceae Group 5
6	Fruits in racemes; seeds wingless; plants aquatic	Subularia	Brassicaceae Group 5
7	"Fruit 3--5 cm, 2--3.5 cm wide; stalk above receptacle 0.7--1.8 cm"	Lunaria	Brassicaceae Group 5
7	"Fruit <= 1.2 cm, <= 0.5 cm wide; stalk above receptacle 0(0.5) mm"	8	Brassicaceae Group 5
8	Fruit dehiscent; ovules or seeds 5--90 per fruit	9	Brassicaceae Group 5
8	Fruit indehiscent; ovules or seeds 1--2(4) per fruit	10	Brassicaceae Group 5
9	"Fruit valve midveins distinct; ovules, seeds 8--14 per fruit; petals white"	Cochlearia	Brassicaceae Group 5
9	"Fruit valve midveins obscure; ovules, seeds 18--90 per fruit; petals yellow"	Rorippa	Brassicaceae Group 5
10	"Fruit ascending to spreading, cylindric, wings 0, radiating veins 0"	Lepidium	Brassicaceae Group 5
10	"Fruit reflexed, flat parallel to septum, winged, veins generally radiating"	Thysanocarpus	Brassicaceae Group 5
11	"Cauline leaves sessile, basally lobed, sagittate, or clasping"	12	Brassicaceae Group 5
11	"Cauline leaves petioled (0), if sessile then not basally lobed, sagittate, or clasping"	15	Brassicaceae Group 5
12	"Fruit indehiscent, reflexed, winged, with 1 seed at +- middle"	Isatis	Brassicaceae Group 5
12	"Fruit generally dehiscent, erect to spreading to descending, not winged, 2--16-seeded"	13	Brassicaceae Group 5
13	Seeds 2 per fruit	Lepidium	Brassicaceae Group 5
13	Seeds 2--16 per fruit	14	Brassicaceae Group 5
14	"Seeds smooth (minutely net-like), yellow-brown to brown"	Noccaea	Brassicaceae Group 5
14	"Seeds concentrically striate, +- black-brown"	Thlaspi	Brassicaceae Group 5
15	Ovules or seeds 8--24 per fruit	16	Brassicaceae Group 5
15	Ovules or seeds 2(4) per fruit	17	Brassicaceae Group 5
16	"Perennial herb 5--12(20) dm, roots fleshy"	Armoracia	Brassicaceae Group 5
16	"Annual 0.2--3 dm, fleshy roots 0"	Hornungia	Brassicaceae Group 5
17	Raceme not elongated in fruit; seeds winged	Iberis	Brassicaceae Group 5
17	Racemes elongated in fruit; seeds wingless	Lepidium	Brassicaceae Group 5
1	Plant scapose; cauline leaves 0	2	Brassicaceae Group 6
1	Plant not scapose; at least 1 cauline leaf present	4	Brassicaceae Group 6
2	"Seed, ovules to 4 per fruit"	Cusickiella	Brassicaceae Group 6
2	"Seed, ovules >= 10 per fruit"	3	Brassicaceae Group 6
3	Seed with club-shaped hairs; fruit valves with distinct net-like lateral veins	Anelsonia	Brassicaceae Group 6
3	Seed surface minutely net-like; fruit valves obscurely lateral-veined	Draba	Brassicaceae Group 6
4	"Cauline leaves sessile, basally lobed, sagittate, or clasping"	5	Brassicaceae Group 6
4	"Cauline leaves petioled, if sessile then not basally lobed, sagittate, or clasping"	6	Brassicaceae Group 6
5	"Fruit obtriangular-obcordate, flat perpendicular to septum; style 0.2--0.7 mm"	Capsella	Brassicaceae Group 6
5	"Fruit pear-shaped to obovoid, flat parallel to septum; style 1--3.5 mm"	Camelina	Brassicaceae Group 6
6	"Fruit flat perpendicular to septum, or 4-valved and septum 0"	7	Brassicaceae Group 6
6	"Fruit flat parallel to septum, cylindric, ovoid, or 4-angled"	12	Brassicaceae Group 6
7	Inflorescence bracted throughout	Tropidocarpum	Brassicaceae Group 6
7	Inflorescence not or only basally bracted	8	Brassicaceae Group 6
8	Seeds 2 per fruit; fruit spectacle-shaped	Dithyrea	Brassicaceae Group 6
8	Seeds 4--100 per fruit; fruit not spectacle-shaped	9	Brassicaceae Group 6
9	"Leaves generally comb-like, rigid"	Polyctenium	Brassicaceae Group 6
9	"Leaves entire or variously divided, not comb-like or rigid"	10	Brassicaceae Group 6
10	Fruit obcordate; stigma prominently 2-lobed	Lyrocarpa	Brassicaceae Group 6
10	Fruit not obcordate; stigma entire	11	Brassicaceae Group 6
11	Style 2--9 mm; perennial herb	Physaria	Brassicaceae Group 6
11	Style <= 0.1 mm; annual	Hornungia	Brassicaceae Group 6
12	Inflorescence 1-sided; fruit reflexed	Athysanus	Brassicaceae Group 6
12	Inflorescence not 1-sided; fruit not reflexed	13	Brassicaceae Group 6
13	Cauline leaves 1--3-pinnately divided	14	Brassicaceae Group 6
13	"Cauline leaves entire, crenate, dentate, or wavy"	15	Brassicaceae Group 6
14	Annual or biennial; petals yellow	Descurainia	Brassicaceae Group 6
14	"Perennial herb; petals white, lavender, or purple"	Smelowskia	Brassicaceae Group 6
15	Seeds 1--2(4) per fruit	16	Brassicaceae Group 6
15	Seeds (4)6--many per fruit	18	Brassicaceae Group 6
16	"Fruit indehiscent, ovoid, occasionally 4-sided"	Euclidium	Brassicaceae Group 6
16	"Fruit dehiscent, flat parallel to septum"	17	Brassicaceae Group 6
17	"Hairs stellate, occasionally also simple; petals yellow"	Alyssum	Brassicaceae Group 6
17	Hairs 2-rayed only; petals white to purple	Lobularia	Brassicaceae Group 6
18	Filaments appendaged; petals deeply 2-lobed	Berteroa	Brassicaceae Group 6
18	Filaments not appendaged; petals entire to notched	19	Brassicaceae Group 6
19	"Hairs +- sessile, stellate; fruit septum tip generally with midvein"	Physaria	Brassicaceae Group 6
19	"Some hairs stalked, generally of > 1 type; fruit septum tip without midvein"	Draba	Brassicaceae Group 6
1	Plant scapose; cauline leaves 0	2	Brassicaceae Group 7
1	Plant not scapose; cauline leaves 1 to many	3	Brassicaceae Group 7
2	Seeds with club-shaped hairs; fruit valves with distinct net-like lateral veins	Anelsonia	Brassicaceae Group 7
2	Seed surface minutely net-like; fruit valves obscurely lateral-veined	Draba	Brassicaceae Group 7
3	"Cauline leaves sessile, basally lobed to sagittate or clasping"	4	Brassicaceae Group 7
3	"Cauline leaves petioled, if sessile then not basally lobed, sagittate, or clasping"	9	Brassicaceae Group 7
4	Fruit flat parallel to septum	5	Brassicaceae Group 7
4	Fruit cylindric or 4-angled	7	Brassicaceae Group 7
5	"Plant with many-branched, small, tree-like hairs; ovules or seeds (6)8--16(18) per fruit"	Phoenicaulis	Brassicaceae Group 7
5	"Plant with stellate, forked, or few-rayed hairs, if hairs tree-like then ovules > 24"	6	Brassicaceae Group 7
6	"Branched hairs stellate, 3--5-rayed; fruit straight, erect, appressed to rachis or diverging, 0.6--2 mm wide"	Arabis	Brassicaceae Group 7
6	"Branched hairs forked, few- to many-rayed, or tree-like; fruit arc-shaped to straight, reflexed to pendent or spreading (erect), 1--6 mm wide"	Boechera	Brassicaceae Group 7
7	Seeds in 1 row; stigma 2-lobed; branched hairs 2-rayed	Caulanthus	Brassicaceae Group 7
7	Seeds in 2 rows; stigma entire; branched hairs tree-like or stellate	8	Brassicaceae Group 7
8	"Fruit pedicels ascending; fruit cylindric, not appressed to rachis"	Transberingia	Brassicaceae Group 7
8	"Fruit pedicels erect; fruit +- 4-angled, appressed to rachis"	Turritis	Brassicaceae Group 7
9	Inflorescence bracted throughout	Tropidocarpum	Brassicaceae Group 7
9	Inflorescence not or only basally bracted	10	Brassicaceae Group 7
10	"Plant hairs sessile, stellate and 2--5(8)-rayed, simple hairs 0"	Erysimum	Brassicaceae Group 7
10	"Plant with other types of branched hairs, simple hairs generally present"	11	Brassicaceae Group 7
11	"Stigma conic, prominently 2-lobed, lobes generally decurrent"	12	Brassicaceae Group 7
11	"Stigma capitate, entire, if +- 2-lobed then lobes not decurrent"	14	Brassicaceae Group 7
12	Seeds winged	Matthiola	Brassicaceae Group 7
12	Seed wings 0	13	Brassicaceae Group 7
13	"Fruit glabrous, constricted between seeds; hairs simple, forked"	Hesperis	Brassicaceae Group 7
13	"Fruit hairy, not constricted between seeds; plants with at least some many-branched hairs"	Strigosella	Brassicaceae Group 7
14	Cauline leaves pinnately divided to dissected or comb-like	15	Brassicaceae Group 7
14	Cauline leaves entire or dentate (wavy)	17	Brassicaceae Group 7
15	Fruit flat parallel to septum	Sibara	Brassicaceae Group 7
15	Fruit cylindric or flat perpendicular to septum	16	Brassicaceae Group 7
16	"Leaves pinnately lobed or dissected, not rigid; fruit cylindric"	Descurainia	Brassicaceae Group 7
16	"Leaves generally comb-like, rigid; fruit +- flat perpendicular to septum"	Polyctenium	Brassicaceae Group 7
17	Fruit cylindric; seeds in 1 row	18	Brassicaceae Group 7
17	Fruit generally flat parallel to septum; seeds in (1)2 rows	19	Brassicaceae Group 7
18	Fruit glabrous; cauline leaves entire	Arabidopsis	Brassicaceae Group 7
18	Fruit hairy; at least some cauline leaves dentate to wavy	Halimolobos	Brassicaceae Group 7
19	Fruit valves with elongate simple hairs mixed with stalked-forked or smaller stellate ones	Aubrieta	Brassicaceae Group 7
19	Fruit valves glabrous or with hairs of 1 size or type	20	Brassicaceae Group 7
20	Fruit narrowly linear; seeds winged (wing 0)	Boechera	Brassicaceae Group 7
20	Fruit lanceolate to oblong (linear); seeds wingless --- if winged then cauline leaves 1	Draba	Brassicaceae Group 7
1	Plant scapose; cauline leaves 0	2	Brassicaceae Group 8
1	Plant not scapose; at least 1 cauline leaf present	3	Brassicaceae Group 8
2	"Perennial herb, cespitose; ovules or seeds 8--18 per fruit; petals white"	Cardamine	Brassicaceae Group 8
2	Annual (short-lived perennial herb); ovules or seeds 20--36 per fruit; petals yellow	Diplotaxis	Brassicaceae Group 8
3	Plant glandular	Chorispora	Brassicaceae Group 8
